,Book ID,A,B,C
0,PG1,0.1784687670186837,-1.1516880058764347,0.1073629827946274
1,PG2,0.265629276548033,-1.0458461524837703,0.0932762044150518
2,PG3,0.2433999239841877,-1.2952752457070509,0.0812279675933005
3,PG4,0.2826066235691379,-1.3714483953537515,0.0549603227948144
4,PG5,0.1809792208294267,-1.1748373469868676,0.1206656806481531
5,PG6,0.2277883969085362,-1.4131900600121692,0.0806125125395565
6,PG7,0.3689307784334504,-0.7303378392892811,0.045806945709902
7,PG8,0.2603365504844395,-1.2575461236334888,0.0785432889136591
8,PG9,0.1753181329683956,-1.6558823145357526,0.0960761365025379
9,PG10,0.0936448833938271,-0.3205680242690072,0.2257309516926723
10,PG14,0.2052414364752582,-1.025326510755311,0.0220423226949842
11,PG15,0.2624469899219074,-1.3978503713628418,0.1254736532743438
12,PG17,0.0526248439756659,-0.5259490350475833,0.1801347117642502
13,PG18,0.0482423511692239,-0.9993468211717512,0.2040338991660563
14,PG19,0.1202102497848408,-1.1137674476431143,0.1593084947002372
15,PG22,0.2331372076463763,-1.2523157274901462,0.0074835926748351
16,PG23,0.1079582456940764,-1.190734927774468,0.1165818312097057
17,PG25,0.2065140957895386,-1.0207109974095483,0.023591351974122
18,PG26,0.0895666066242204,-1.2810078450668638,0.0916412803579502
19,PG27,0.07475867196479,-1.2747259837346916,0.1245302142433405
20,PG28,0.1082381686335099,-0.6161955267917879,0.1160602916896435
21,PG29,1841.537034484209,-6.380853831876008e-05,-1840.95208710803
22,PG30,0.0943417354862542,-0.3202544227633406,0.2255035144874732
23,PG31,0.1045568752436328,-1.2724670844262762,0.0802232601531046
24,PG33,0.0738640101471732,-1.6619385953988186,0.135335922507289
25,PG34,0.1315275499457349,-1.2828146713921742,0.0839138421348891
26,PG37,0.4070833789095398,-0.7567971028356892,0.036163017942126
27,PG38,0.0874924510076474,-1.2322498377288058,0.0912437587713015
28,PG39,0.1505745296650365,-1.2703115707353967,0.0896406262922722
29,PG42,0.1062505690841541,-1.691297319678751,0.1203468499237368
30,PG48,0.200860813711708,-1.0202809743117396,0.0225430933901954
